cod,department,crop,n_farms,planted_area_ha,ds_planted_area_ha,production_ton,n_plants_in_production,n_plants_in_growth,flowers_area_ha,o_plants_area_ha
1,CONCEPCI‡N,cotton,2,2,2,-,,,,
2,SAN PEDRO,cotton,26,50,20,74,,,,
3,CORDILLERA,cotton,2,11,10,5,,,,
4,GUAIRµ,cotton,44,62,11,75,,,,
5,CAAGUAZÈ,cotton,205,311,60,344,,,,
6,CAAZAPµ,cotton,35,89,54,76,,,,
7, ITAPÈA,cotton,3,532,532,401,,,,
8,MISIONES,cotton,0,-,-,-,,,,
9,PARAGUAR÷,cotton,16,23,4,67,,,,
10,ALTO PARANµ,cotton,8,10,10,10,,,,
11,CENTRAL,cotton,2,4,0,7,,,,
12,•EEMBUCÈ,cotton,1,5,0,5,,,,
13,AMAMBAY,cotton,0,0,0,-,,,,
14,CANINDEYÈ,cotton,0,0,-,-,,,,
15,PRESIDENTE HAYES,cotton,16,2182,1662,3763,,,,
16,BOQUER‡N,cotton,56,13770,13471,20354,,,,
17,ALTO PARAGUAY,cotton,7,1802,1802,3762,,,,
1,CONCEPCI‡N,sesame,3226,6213,1578,4376,,,,
2,SAN PEDRO,sesame,6856,13857,1943,9731,,,,
3,CORDILLERA,sesame,-,-,-,-,,,,
4,GUAIRµ,sesame,7,16,1,10,,,,
5,CAAGUAZÈ,sesame,276,364,20,419,,,,
6,CAAZAPµ,sesame,43,248,40,192,,,,
7, ITAPÈA,sesame,1322,2314,288,1366,,,,
8,MISIONES,sesame,3,240,-,48,,,,
9,PARAGUAR÷,sesame,1,1,-,1,,,,
10,ALTO PARANµ,sesame,4,7,1,10,,,,
11,CENTRAL,sesame,-,-,-,-,,,,
12,•EEMBUCÈ,sesame,-,-,-,-,,,,
13,AMAMBAY,sesame,89,205,83,147,,,,
14,CANINDEYÈ,sesame,1453,2906,406,1593,,,,
15,PRESIDENTE HAYES,sesame,130,1171,524,665,,,,
16,BOQUER‡N,sesame,384,20908,16832,9098,,,,
17,ALTO PARAGUAY,sesame,2,188,188,84,,,,
1,CONCEPCI‡N,soybean,176,25850,9993,40119,,,,
2,SAN PEDRO,soybean,4907,352056,246419,545351,,,,
3,CORDILLERA,soybean,21,1664,1153,2825,,,,
4,GUAIRµ,soybean,244,12608,4116,19127,,,,
5,CAAGUAZÈ,soybean,4282,340210,238830,538622,,,,
6,CAAZAPµ,soybean,1571,147511,55323,245742,,,,
7, ITAPÈA,soybean,8408,541519,424193,814838,,,,
8,MISIONES,soybean,90,28453,8014,30948,,,,
9,PARAGUAR÷,soybean,14,5755,1444,9745,,,,
10,ALTO PARANµ,soybean,5813,864566,631733,1120818,,,,
11,CENTRAL,soybean,,,,,,,,
12,•EEMBUCÈ,soybean,2,162,14,193,,,,
13,AMAMBAY,soybean,459,162517,129959,376135,,,,
14,CANINDEYÈ,soybean,2253,526737,368960,535614,,,,
