farm_size,crop,n_farms,planted_area_ha,ds_planted_area_ha,production_ton,n_plants_in_production,n_plants_in_growth,flowers_area_ha,o_plants_area_ha
< 1,cotton,3,1,0,1,,,,
1 - 5,cotton,77,69,13,101,,,,
5-10,cotton,129,182,41,259,,,,
10-20,cotton,90,136,21,147,,,,
20-50,cotton,33,125,79,107,,,,
50-100,cotton,11,324,266,251,,,,
100-200,cotton,10,461,439,940,,,,
200-500,cotton,30,2613,2564,5259,,,,
500-1000,cotton,18,2920,2666,5814,,,,
1000-5000,cotton,12,6029,5556,8158,,,,
5000-10000,cotton,3,1529,1529,2267,,,,
<10000,cotton,7,4465,4465,5639,,,,
< 1,sesame,40,14,1,13,,,,
1 - 5,sesame,2989,3523,538,2521,,,,
5-10,sesame,5111,8965,1450,6162,,,,
10-20,sesame,4389,10078,1606,6629,,,,
20-50,sesame,884,2816,714,1857,,,,
50-100,sesame,134,951,457,589,,,,
100-200,sesame,52,821,637,493,,,,
200-500,sesame,99,6226,5342,2794,,,,
500-1000,sesame,47,5820,4701,2610,,,,
1000-5000,sesame,42,8579,6080,3620,,,,
5000-10000,sesame,7,759,358,379,,,,
<10000,sesame,2,88,20,71,,,,
< 1,soybean,13,5,4,11,,,,
1 - 5,soybean,1845,3850,2475,7891,,,,
5-10,soybean,5015,21677,14524,42646,,,,
10-20,soybean,6608,54088,37021,99056,,,,
20-50,soybean,5764,116972,85835,203413,,,,
50-100,soybean,2864,143296,110525,245062,,,,
100-200,soybean,2154,218378,173860,353792,,,,
200-500,soybean,2087,446956,342636,692246,,,,
500-1000,soybean,1006,446079,330839,639486,,,,
1000-5000,soybean,913,1064540,708630,1387546,,,,
5000-10000,soybean,100,273568,181703,364867,,,,
<10000,soybean,63,272677,172520,309008,,,,
< 1,soybean_safrinha,1,0,,1,,,,
1 - 5,soybean_safrinha,305,679,469,1678,,,,
5-10,soybean_safrinha,758,3339,2228,6373,,,,
10-20,soybean_safrinha,1034,8380,5951,16024,,,,
20-50,soybean_safrinha,969,17802,12338,31946,,,,
50-100,soybean_safrinha,592,24844,19408,45633,,,,
100-200,soybean_safrinha,503,35313,27205,66550,,,,
200-500,soybean_safrinha,482,66793,54077,123843,,,,
500-1000,soybean_safrinha,229,63927,49898,120333,,,,
1000-5000,soybean_safrinha,240,195607,141448,356779,,,,
5000-10000,soybean_safrinha,17,20829,16834,33254,,,,
<10000,soybean_safrinha,11,40209,31310,72245,,,,
< 1,wheat,1,1,0,2,,,,
1 - 5,wheat,123,276,192,622,,,,
5-10,wheat,511,2384,1617,5442,,,,
10-20,wheat,741,6279,4768,13177,,,,
20-50,wheat,1005,19272,14841,37665,,,,
50-100,wheat,618,26136,21182,53843,,,,
100-200,wheat,537,39225,31122,89096,,,,
200-500,wheat,523,75715,57528,162363,,,,
500-1000,wheat,253,70300,59935,152981,,,,
1000-5000,wheat,217,155787,125407,375604,,,,
5000-10000,wheat,18,26117,25817,65790,,,,
<10000,wheat,8,11652,2280,16287,,,,
< 1,sugar,156,45,NULL,2950,,,,
1 - 5,sugar,2649,4024,NULL,224943,,,,
5-10,sugar,2908,8351,NULL,458733,,,,
10-20,sugar,2272,10859,NULL,619826,,,,
20-50,sugar,1100,10024,NULL,530423,,,,
50-100,sugar,283,4963,NULL,266134,,,,
100-200,sugar,145,5288,NULL,340477,,,,
200-500,sugar,90,4876,NULL,283557,,,,
500-1000,sugar,24,1592,NULL,87005,,,,
1000-5000,sugar,25,17760,NULL,1023092,,,,
5000-10000,sugar,3,7322,NULL,360910,,,,
<10000,sugar,3,15229,NULL,850838,,,,
< 1,corn,1016,224,83,710,,,,
1 - 5,corn,20162,14886,4900,45882,,,,
5-10,corn,19281,25080,8684,73043,,,,
10-20,corn,15813,30596,11917,88205,,,,
20-50,corn,6080,26063,14829,83226,,,,
50-100,corn,1505,18581,15254,70905,,,,
100-200,corn,771,17935,18780,74140,,,,
200-500,corn,599,25760,38988,108514,,,,
500-1000,corn,244,13909,23310,59412,,,,
1000-5000,corn,203,27475,47490,96069,,,,
5000-10000,corn,18,7378,6789,19842,,,,
<10000,corn,24,21233,15037,66441,,,,
< 1,corn_safrinha,133,31,8,129,,,,
1 - 5,corn_safrinha,3474,2779,995,9370,,,,
5-10,corn_safrinha,3818,6339,2908,21158,,,,
10-20,corn_safrinha,3626,11643,7573,41164,,,,
20-50,corn_safrinha,1981,24343,19754,91859,,,,
50-100,corn_safrinha,1062,41009,33328,162483,,,,
100-200,corn_safrinha,862,65762,55358,268190,,,,
